TestData_Name, TestData_Accuracy, Precision, Recall, F1 Score, MeanValue IoU, Bottle, Box, Candle, Coffee_Mug, Flowerpot, Footwear, Glass, Void
Image57_Color, 0.941403, 0.957404, 0.941403, 0.949336, 0.491546, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.999900
Image58_Color, 0.961419, 0.955477, 0.961419, 0.958439, 0.495748, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.992653
Image59_Color, 0.815794, 1.000000, 0.815794, 0.898554, 0.407897, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 1.000000
Image5_Color, 0.970410, 0.962215, 0.970410, 0.966295, 0.495777, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.991555
Image60_Color, 0.958851, 0.953691, 0.958851, 0.956264, 0.495859, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000, 0.993162
Image61_Color, 0.956855, 0.954588, 0.956855, 0.955720, 0.492284, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.991049
Image62_Color, 0.928597, 0.993962, 0.928597, 0.960168, 0.467075, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.999951
Image63_Color, 0.967676, 0.942357, 0.967676, 0.954849, 0.486889, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.973806
Image64_Color, 0.962686, 0.954881, 0.962686, 0.958768, 0.495566, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.991511
Image65_Color, 0.962129, 0.945304, 0.962129, 0.953642, 0.491174, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.982430
Image66_Color, 0.966882, 0.947096, 0.966882, 0.956887, 0.489769, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.979537
Image67_Color, 0.962777, 0.957135, 0.962777, 0.959948, 0.496698, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.993767
Image68_Color, 0.961888, 0.943148, 0.961888, 0.952426, 0.490124, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.980382
Image69_Color, 0.964766, 0.952914, 0.964766, 0.958803, 0.493091, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.986943
Image6_Color, 0.972080, 0.969616, 0.972080, 0.970846, 0.498642, 0.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.997375
Image70_Color, 0.960846, 0.953779, 0.960846, 0.957300, 0.494983, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.991298
Image71_Color, 0.969043, 0.967603, 0.969043, 0.968322, 0.497065, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.000000, 0.996315
Image72_Color, 0.937689, 1.000000, 0.937689, 0.967843, 0.234422, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
Image73_Color, 0.929040, 1.000000, 0.929040, 0.963215, 0.232260, 0.000000, 1.000000, 0.000000, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
